Data Exploration of Overperforming YouTube Videos (Horror Niche),,,,,,,,,,,,,,,
Analysis of videos that received 50% more views than their channel average,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Creator,,,,,,,,,,,,
,,,Abyssal Detective,,,,Top 5 Overperforming Uploads,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,Title,Date,Views,Performance %,,,,,
,,,,,,,the Most Disturbing Things on the Internet Iceberg,2025-01-05,1621084,377%,,,,,
,,,,,,,the Most Disturbing Footage Caught on Camera Iceberg,2025-03-16,1213224,282%,,,,,
,,,,,,,the Most Disturbing Internet Mysteries Iceberg,2024-11-10,1140572,266%,,,,,
,,,,,,,the Most Disturbing Things Ever Caught on Livestream Iceberg,2025-01-29,1022506,238%,,,,,
,,,,,,,the Most Disturbing Live TV Moments Iceberg,2025-02-11,970709,226%,,,,,
,,,,,,,,,,,,,,,